date;recession;tbills3m;tbonds10y;xri
196601;0;4.59;4.61;0.01
196602;0;4.65;4.83;0.02
196603;0;4.59;4.87;0.01
196604;0;4.62;4.75;0.02
196605;0;4.64;4.78;0.06
196606;0;4.5;4.81;0.19
196607;0;4.8;5.02;0.3
196608;0;4.96;5.22;0.13
196609;0;5.37;5.18;0.07
196610;0;5.35;5.01;0.06
196611;0;5.32;5.16;0.13
196612;0;4.96;4.84;0.26
196701;0;4.72;4.58;0.17
196702;0;4.56;4.63;0.55
196703;0;4.26;4.54;0.51
196704;0;3.84;4.59;0.22
196705;0;3.6;4.85;0.09
196706;0;3.54;5.02;0.01
196707;0;4.21;5.16;0.02
196708;0;4.27;5.28;0.02
196709;0;4.42;5.3;0.03
196710;0;4.56;5.48;0.02
196711;0;4.73;5.75;0.02
196712;0;4.97;5.7;0.01
196801;0;5;5.53;0.01
196802;0;4.98;5.56;0.01
196803;0;5.17;5.74;0.01
196804;0;5.38;5.64;0.05
196805;0;5.66;5.87;0.07
196806;0;5.52;5.72;0.1
196807;0;5.31;5.5;0.11
196808;0;5.09;5.42;0.08
196809;0;5.19;5.46;0.03
196810;0;5.35;5.58;0.03
196811;0;5.45;5.7;0.02
196812;0;5.96;6.03;0.04
196901;0;6.14;6.04;0.04
196902;0;6.12;6.19;0.04
196903;0;6.02;6.3;0.09
196904;0;6.11;6.17;0.2
196905;0;6.04;6.32;0.54
196906;0;6.44;6.57;0.64
196907;0;7;6.72;0.59
196908;0;6.98;6.69;0.53
196909;0;7.09;7.16;0.63
196910;0;7;7.1;0.49
196911;0;7.24;7.14;0.51
196912;1;7.82;7.65;0.39
197001;1;7.87;7.79;0.77
197002;1;7.13;7.24;0.76
197003;1;6.63;7.07;0.6
197004;1;6.51;7.39;0.62
197005;1;6.84;7.91;0.69
197006;1;6.68;7.84;0.8
197007;1;6.45;7.46;0.58
197008;1;6.41;7.53;0.21
197009;1;6.12;7.39;0.09
197010;1;5.91;7.33;0.09
197011;1;5.28;6.84;0.12
197012;0;4.87;6.39;0.02
197101;0;4.44;6.24;0.01
197102;0;3.7;6.11;0.01
197103;0;3.38;5.7;0.01
197104;0;3.86;5.83;0.01
197105;0;4.14;6.39;0.01
197106;0;4.75;6.52;0.01
197107;0;5.4;6.73;0.03
197108;0;4.94;6.58;0.05
