DATE          VALUE
1995-01-01   7307.7
1995-04-01   7355.8
1995-07-01   7452.5
1995-10-01   7542.5
1996-01-01   7638.2
1996-04-01   7800.0
1996-07-01   7892.7
1996-10-01   8023.0
1997-01-01   8137.0
1997-04-01   8276.8
1997-07-01   8409.9
1997-10-01   8505.7
1998-01-01   8600.6
1998-04-01   8698.6
1998-07-01   8847.2
1998-10-01   9027.5
1999-01-01   9148.6
1999-04-01   9252.6
1999-07-01   9405.1
1999-10-01   9607.7
2000-01-01   9709.5
2000-04-01   9949.1
2000-07-01  10017.5
2000-10-01  10129.8
2001-01-01  10165.1
2001-04-01  10301.3
2001-07-01  10305.2
2001-10-01  10373.1
2002-01-01  10498.7
2002-04-01  10601.9
2002-07-01  10701.7
2002-10-01  10766.9
2003-01-01  10888.4
2003-04-01  11008.1
2003-07-01  11255.7
2003-10-01  11416.5
2004-01-01  11597.2
2004-04-01  11778.4
2004-07-01  11950.5
2004-10-01  12144.9
