"Symbol";"Description"
"H15_NFCP_M2";"CommercialPaper2MNonFin"
"H15_NFCP_M3";"CommercialPaper3MNonFin"
"H15_FCP_M1";"CommercialPaper1MFinancial"
"H15_FCP_M2";"CommercialPaper2MFinancial"
"H15_FCP_M3";"CommercialPaper3MFinancial"
"H15_CPFFWOUT_M3";"CP3MCPFFwithoutsurcharge"
"H15_CPFFWITH_M3";"CP3MCPFFwithsurcharge"
"H15_PRIME_NA";"BankPrimeLoan"
"H15_DWPC_NA";"DiscountWindowPrimaryCredit"
"H15_TB_WK4";"TreasuryBill4W"
"H15_TB_M3";"TreasuryBill3M"
"H15_TB_M6";"TreasuryBill6M"
"H15_TB_Y1";"TreasuryBill1Y"
"H15_TCMNOM_M1";"TrConstMatNominal1M"
"H15_TCMNOM_M3";"TrConstMatNominal3M"
"H15_TCMNOM_M6";"TrConstMatNominal6M"
"H15_TCMNOM_Y1";"TrConstMatNominal1Y"
"H15_TCMNOM_Y2";"TrConstMatNominal2Y"
"H15_TCMNOM_Y3";"TrConstMatNominal3Y"
"H15_TCMNOM_Y5";"TrConstMatNominal5Y"
"H15_TCMNOM_Y7";"TrConstMatNominal7Y"
"H15_TCMNOM_Y10";"TrConstMatNominal10Y"
"H15_TCMNOM_Y20";"TrConstMatNominal20Y"
"H15_TCMNOM_Y30";"TrConstMatNominal30Y"
"H15_TCMII_Y5";"TrConstMatInflationIdxd5Y"
"H15_TCMII_Y7";"TrConstMatInflationIdxd7Y"
"H15_TCMII_Y10";"TrConstMatInflationIdxd10Y"
"H15_TCMII_Y20";"TrConstMatInflationIdxd20Y"
"H15_LTAVG_Y10P";"TrConstMatInflationIdxd>20Y"
"H15_SWAPS_Y1";"InterestRateSwaps1Y"
"H15_SWAPS_Y2";"InterestRateSwaps2Y"
"H15_SWAPS_Y3";"InterestRateSwaps3Y"
"H15_SWAPS_Y4";"InterestRateSwaps4Y"
"H15_SWAPS_Y5";"InterestRateSwaps5Y"
"H15_SWAPS_Y7";"InterestRateSwaps7Y"
"H15_SWAPS_Y10";"InterestRateSwaps10Y"
"H15_SWAPS_Y30";"InterestRateSwaps30Y"
"H15_AAA_NA";"MoodysSeasonedAaa"
"H15_BAA_NA";"MoodysSeasonedBaa"
