"Symbol";"Name";"MarketCap";"Exchange"
"A";"Agilent Technologies, Inc.";"$12,852.3";"NYSE"
"AA";"Alcoa Inc.";"$28,234.5";"NYSE"
"AAI";"AirTran Holdings, Inc.";"$156.9";"NYSE"
"AAP";"Advance Auto Parts Inc";"$3,507.4";"NYSE"
"AAR";"AMR CORPORATION";"$81.7";"NYSE"
"AAV";"ADVANTAGE ENERGY INCOME FUND";"$1,674.4";"NYSE"
"AAZ-PK";"SiM Internal Test 1";"NA";"NYSE"
"AB";"Alliance Capital Management Holding L.P.";"$4,031.7";"NYSE"
"ABA";"Alabama Power Company";"$154.4";"NYSE"
"ABB";"ABB LTD";"$8,102.7";"NYSE"
"ABC";"AmerisourceBergen Corporation (Holding Co)";"$6,176.5";"NYSE"
"ABD";"Acco Brands Corporation";"$456.6";"NYSE"
"ABG";"ASBURY AUTOMOTIVE GROUP INC";"$347.3";"NYSE"
"ABH";"Abitibibowater Inc";"$409.4";"NYSE"
"ABI";"Applera Corporation";"$5,711.0";"NYSE"
"ABK";"Ambac Financial Group, Inc.";"$490.5";"NYSE"
"ABK-PZ";"Ambac Financial Group, Inc.";"$0.0";"NYSE"
"ABM";"ABM Industries Incorporated";"$1,089.3";"NYSE"
"ABN-PE";"ABN Amro Holding N.V.";"$721.5";"NYSE"
"ABN-PF";"ABN Amro Holding N.V.";"$122.8";"NYSE"
"ABN-PG";"ABN Amro Holding N.V.";"$952.1";"NYSE"
"ABR";"Arbor Realty Trust";"$175.9";"NYSE"
"ABT";"Abbott Laboratories";"$87,088.2";"NYSE"
"ABV";"Companhia de Bebidas das Americas - AmBev";"$2,925.3";"NYSE"
"ABV-C";"Companhia de Bebidas das Americas - AmBev";"$169.9";"NYSE"
"ABW-PA";"Associated Banc-Corp";"$152.3";"NYSE"
"ABX";"Barrick Gold Corporation";"$42,807.1";"NYSE"
"ACC";"American Campus Communities Inc";"$1,050.0";"NYSE"
"ACE";"Ace Limited";"$16,412.3";"NYSE"
"ACF";"AmeriCredit Corporation";"$857.2";"NYSE"
"ACG";"Alliance Capital Management Holding L.P.";"$1,827.9";"NYSE"
"ACH";"Aluminum Corporation of China Ltd";"$720.1";"NYSE"
"ACI";"Arch Coal, Inc.";"$9,607.8";"NYSE"
"ACL";"ALCON INC";"$49,575.8";"NYSE"
"ACM";"Aecom Technology Corporation";"$3,011.9";"NYSE"
"ACN";"Accenture Ltd.";"$23,488.9";"NYSE"
