Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
SXXE;EU0009658186;DJES EUR (Price);Eurozone;Benchmark;EUR;Price;15-Jun-98
SXXK;EU0009659028;DJES USD (Price);Eurozone;Benchmark;USD;Price;15-Jun-98
SXXT;EU0009658194;DJES EUR (Return);Eurozone;Benchmark;EUR;Return;15-Jun-98
SXXU;EU0009659036;DJES USD (Return);Eurozone;Benchmark;USD;Return;15-Jun-98
BKXE;CH0009119378;DJES TMI EUR (Price);Eurozone;Benchmark;EUR;Price;20-Nov-00
BKXK;CH0009119469;DJES TMI USD (Price);Eurozone;Benchmark;USD;Price;20-Nov-00
BKXT;CH0009119642;DJES TMI EUR (Return);Eurozone;Benchmark;EUR;Return;20-Nov-00
BKXU;CH0009119667;DJES TMI USD (Return);Eurozone;Benchmark;USD;Return;20-Nov-00
EUETML;CH0019767703;DJS EU Enlarg TMI USD (Price);EU Enlarged;Benchmark;USD;Price;27-Oct-04
EUETMP;CH0019767687;DJS EU Enlarg TMI EUR (Price);EU Enlarged;Benchmark;EUR;Price;27-Oct-04
EUETMR;CH0019767745;DJS EU Enlarg TMI EUR (Return);EU Enlarged;Benchmark;EUR;Return;27-Oct-04
EUETMV;CH0019767760;DJS EU Enlarg TMI USD (Return);EU Enlarged;Benchmark;USD;Return;27-Oct-04
SXXR;EU0009658210;DJS 600 EUR (Return);Europe;Benchmark;EUR;Return;15-Jun-98
SXXL;EU0009659044;DJS 600 USD (Price);Europe;Benchmark;USD;Price;15-Jun-98
SXXP;EU0009658202;DJS 600 EUR (Price);Europe;Benchmark;EUR;Price;15-Jun-98
SXXV;EU0009659051;DJS 600 USD (Return);Europe;Benchmark;USD;Return;15-Jun-98
DJA1;US26061N1000;DJS Amr600 USD (Price);Americas;Benchmark;USD;Price;01-Jul-03
DJA1E; ;DJS Am600 EUR (Price);Americas;Benchmark;EUR;Price;01-Jul-03
DJA1R; ;DJS Amr600 EUR (Return);Americas;Benchmark;EUR;Return;01-Jul-03
DJA1V; ;DJS Am600 USD (Return);Americas;Benchmark;USD;Return;01-Jul-03
DJP1;US26061P1057;DJS Ap600 USD (Price);Asia/Pacific;Benchmark;USD;Price;01-Jul-03
DJP1E; ;DJS Ap600 EUR (Price);Asia/Pacific;Benchmark;EUR;Price;01-Jul-03
DJP1R; ;DJS Ap600 EUR (Return);Asia/Pacific;Benchmark;EUR;Return;01-Jul-03
DJP1V; ;DJS Ap600 USD (Return);Asia/Pacific;Benchmark;USD;Return;01-Jul-03
DJP2;US26066L1254;DJS AP 600xJP USD (Price);Asia/Pacific;Benchmark;USD;Price;10-Dec-03
DJP2E;US26066L1171;DJS AP 600xJP EUR (Price);Asia/Pacific;Benchmark;EUR;Price;10-Dec-03
DJP2R;US26066M1154;DJS AP 600xJP EUR (Return);Asia/Pacific;Benchmark;EUR;Return;10-Dec-03
DJP2V;US26066M1238;DJS AP 600xJP USD (Return);Asia/Pacific;Benchmark;USD;Return;10-Dec-03
SXBXL;CH0042895315;DJSB TMI USD (Price);Balkan;Benchmark;USD;Price;07-Oct-08
SXBXP;CH0042895323;DJSB TMI EUR (Price);Balkan;Benchmark;EUR;Price;07-Oct-08
SXBXR;CH0042895331;DJSB TMI EUR (Return);Balkan;Benchmark;EUR;Return;07-Oct-08
SXBXV;CH0042895349;DJSB TMI USD (Return);Balkan;Benchmark;USD;Return;07-Oct-08
SXBAL;CH0042344751;DJSB TMI ex GR&TR USD (Price);Balkan;Benchmark;USD;Price;07-Oct-08
SXBAP;CH0042344769;DJSB TMI ex GR&TR EUR (Price);Balkan;Benchmark;EUR;Price;07-Oct-08
SXBAR;CH0042344777;DJSB TMI ex GR&TR EUR (Return);Balkan;Benchmark;EUR;Return;07-Oct-08
SXBAV;CH0042344785;DJSB TMI ex GR&TR USD (Return);Balkan;Benchmark;USD;Return;07-Oct-08
EEBL;CH0042344835;DJSEE 300 USD (Price);Eastern Europe;Benchmark;USD;Price;07-Oct-08
EEBP;CH0042344843;DJSEE 300 EUR (Price);Eastern Europe;Benchmark;EUR;Price;07-Oct-08
EEBR;CH0042344868;DJSEE 300 EUR (Return);Eastern Europe;Benchmark;EUR;Return;07-Oct-08
EEBV;CH0042344884;DJSEE 300 USD (Return);Eastern Europe;Benchmark;USD;Return;07-Oct-08
EETML;CH0042344579;DJSEE TMI USD (Price);Eastern Europe;Benchmark;USD;Price;07-Oct-08
EETMP;CH0042344587;DJSEE TMI EUR (Price);Eastern Europe;Benchmark;EUR;Price;07-Oct-08
EETMR;CH0042344603;DJSEE TMI EUR (Return);Eastern Europe;Benchmark;EUR;Return;07-Oct-08
EETMV;CH0042344611;DJSEE TMI USD (Return);Eastern Europe;Benchmark;USD;Return;07-Oct-08
SXXA;CH0004120264;DJS ex EURO EUR (Price);Europe ex Eurozone;Benchmark;EUR;Price;15-Apr-99
SXXB;CH0004120488;DJS ex EURO EUR (Return);Europe ex Eurozone;Benchmark;EUR;Return;15-Apr-99
