%Y-%m-%d;SPI;BASI;INDU;CONG;HLTH;CONS;TELE;UTIL;FINA;TECH
1999-12-30;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
2000-01-04;966.19;978.75;966.81;962.38;967.82;981.55;975.16;970.74;960.09;983.18
2000-01-05;956.19;983.16;966.39;956.17;952.3;972.28;930.12;989.72;950.73;958.6
2000-01-06;967.85;1013.97;985.22;994.5;964.29;964.83;919.25;971.02;950.63;976.05
2000-01-07;989.83;1031.29;1003.86;1014.03;1000.62;976.19;914.6;987.75;962.65;998.37
2000-01-10;991.92;1032.52;1005.82;1004.25;1002.96;993.45;933.23;974.74;964.33;1034.79
2000-01-11;989.17;1019.93;1018.42;1007.07;992.88;990.13;908.39;992.77;962.05;1050.82
2000-01-12;991.02;1018.07;1014.11;1027.64;994.85;977.31;919.25;981.96;961.21;1062.86
2000-01-13;992.51;1029.01;1010.32;1031.76;998.64;999.6;922.36;972.27;956.04;1082.94
2000-01-14;1003.86;1035.06;1010.86;1036.82;1012.98;1020.27;933.23;980.17;968.27;1133.27
2000-01-17;1004.85;1041.66;1018.11;1028.39;1014.88;1038.78;975.16;1007.84;961.94;1155.77
2000-01-18;990.14;1025.29;1017.74;1015.47;986.8;1037.71;1010.87;987.28;950.37;1152.1
2000-01-19;985.2;1026.13;1010.36;1009.07;984.69;1037.39;992.24;984.49;942.85;1150.98
2000-01-20;976.13;999.49;1007.7;997.86;976.8;1030.58;964.29;1010.03;931.24;1167.97
2000-01-21;976.02;1000.63;1001.4;997.45;979.51;1041.23;964.29;985.64;927.85;1195.73
2000-01-24;963.82;983.08;999.37;977.34;967.11;1001.01;947.2;1004.15;915.97;1240.72
2000-01-25;946.68;965.29;973.46;949.7;947.93;1028.75;911.49;978.28;901.64;1250.67
2000-01-26;949.94;976.81;983.56;942.56;947.43;1026.85;947.2;986.74;904.28;1322.87
2000-01-27;966.22;988.51;1010.88;963.84;958.42;1024.41;954.97;974.87;923.53;1352.03
2000-01-28;956.6;981.03;1010.15;946.36;943.2;1023.3;951.86;984.44;917.34;1336.94
2000-01-31;939.15;978.94;989.13;937.55;924.06;1007.78;909.94;989.55;900.43;1286.1
2000-02-01;954.01;989.24;992.89;943.15;948.06;1038.33;895.96;964.31;912.21;1328.84
2000-02-02;961.12;988.52;996;948.6;946.55;1035.43;880.43;964.93;934.27;1351.01
2000-02-03;972.98;982.95;1026.41;954.91;955.78;1043.48;881.99;965.69;946.31;1370.92
2000-02-04;969.48;971.8;1072.42;935.16;939.65;1037.14;913.04;969.7;936.05;1462.01
2000-02-07;967.46;965.69;1046.47;925.7;940.63;1060.55;948.76;964.48;936.32;1500.05
2000-02-08;969.13;967;1052.84;930.19;939.21;1071.1;944.1;971.16;933.83;1562.68
2000-02-09;957.06;941.43;1026.49;910.19;934.53;1041.42;908.39;986.55;927.61;1554.43
2000-02-10;951.96;948.57;1010.71;916.48;926.32;1033.98;908.39;986.07;926.65;1514.28
2000-02-11;951.38;951.12;1014.79;909.61;928.45;1028.94;897.52;991.28;920.16;1584.12
