type|date|dayWeek|expl
closed|1885-08-08|(Sat)|Funeral of former President Ulysses S. Grant.
closed|1887-07-02|(Sat)|Saturday before Independence Day.
closed|1887-12-24|(Sat)|Christmas Eve.
closed|1888-03-12|(Mon)|Blizzard of 1888.
closed|1888-03-13|(Tue)|Blizzard of 1888.
closed|1888-09-01|(Sat)|Saturday before Labor Day.
closed|1888-11-30|(Fri)|Friday after Thanksgiving Day.
closed|1889-04-29|(Mon)|Centennial celebration of Washington's inauguration.
closed|1889-04-30|(Tue)|Centennial celebration of Washington's inauguration.
closed|1889-05-01|(Wed)|Centennial celebration of Washington's inauguration.
closed|1890-07-05|(Sat)|Saturday after Independence Day.
closed|1891-12-26|(Sat)|Saturday after Christmas.
closed|1892-07-02|(Sat)|Saturday before Independence Day.
closed|1892-10-12|(Wed)|Columbian Celebration.
closed|1892-10-21|(Fri)|Columbian Celebration.
closed|1892-10-22|(Sat)|Columbian Celebration.
closed|1893-04-27|(Thu)|Columbian Celebration.
closed|1896-12-26|(Sat)|Saturday after Christmas.
closed|1897-04-27|(Tue)|Grant's birthday.
closed|1898-05-04|(Wed)|Charter Day.
closed|1898-07-02|(Sat)|Saturday before Independence Day.
closed|1898-08-20|(Sat)|Welcome of naval commanders.
closed|1898-09-03|(Sat)|Saturday before Labor Day.
closed|1898-12-24|(Sat)|Saturday before Christmas.
closed|1899-02-11|(Sat)|Saturday before Lincoln's Birthday.
closed|1899-05-29|(Mon)|Monday before Decoration Day.
closed|1899-07-03|(Mon)|Monday before Independence Day.
closed|1899-09-29|(Fri)|Admiral Dewey Celebration.
closed|1899-09-30|(Sat)|Admiral Dewey Celebration.
closed|1899-11-25|(Sat)|Funeral of Vice-President Garret A. Hobart.
closed|1900-04-14|(Sat)|Saturday after Good Friday.
closed|1900-09-01|(Sat)|Saturday before Labor Day.
closed|1900-12-24|(Mon)|Christmas Eve.
closed|1901-02-02|(Sat)|Funeral of Queen Victoria of England.
closed|1901-02-23|(Sat)|Saturday after Washington's Birthday.
closed|1901-04-06|(Sat)|Saturday after Good Friday.
closed|1901-04-27|(Sat)|Moved to temporary quarters in Produce Exchange.
closed|1901-05-11|(Sat)|Enlarged temporary quarters in Produce Exchange.
closed|1901-07-05|(Fri)|Days after Independence Day.
closed|1901-07-06|(Sat)|Days after Independence Day.
closed|1901-08-31|(Sat)|Saturday before Labor Day.
closed|1901-09-14|(Sat)|Death of President William McKinley.
closed|1901-09-19|(Thu)|Funeral of President William McKinley.
closed|1902-03-29|(Sat)|Saturday after Good Friday.
closed|1902-05-31|(Sat)|Saturday after Decoration Day.
closed|1902-07-05|(Sat)|Saturday after Independence Day.
closed|1902-08-09|(Sat)|Coronation of King Edward VII of England.
closed|1902-08-30|(Sat)|Saturday before Labor Day.
closed|1903-02-21|(Sat)|Saturday before Washington's Birthday.
closed|1903-04-11|(Sat)|Saturday after Good Friday.
closed|1903-04-22|(Wed)|Opening of new NYSE building.
closed|1903-09-05|(Sat)|Saturday before Labor Day.
closed|1903-12-26|(Sat)|Saturday after Christmas.
closed|1904-05-28|(Sat)|Saturday before Decoration Day.
closed|1904-07-02|(Sat)|Saturday before Independence Day.
closed|1904-09-03|(Sat)|Saturday before Labor Day.
closed|1904-12-24|(Sat)|Saturday before Christmas.
closed|1905-04-22|(Sat)|Saturday after Good Friday.
closed|1907-02-23|(Sat)|Saturday after Washington's birthday.
closed|1907-03-30|(Sat)|Saturday after Good Friday.
closed|1907-08-31|(Sat)|Saturday before Labor Day.
closed|1908-04-18|(Sat)|Saturday after Good Friday.
early1pm|1908-06-26|(Fri)|Closed at 1:00 pm. Funeral of former President Grover Cleveland.
closed|1908-09-05|(Sat)|Saturday before Labor Day.
closed|1908-12-26|(Sat)|Saturday after Christmas.
closed|1909-02-13|(Sat)|Saturday after Lincoln's Birthday.
closed|1909-04-10|(Sat)|Saturday after Good Friday.
closed|1909-05-29|(Sat)|Saturday before Decoration Day.
closed|1909-07-03|(Sat)|Saturday before Independence Day.
closed|1909-09-04|(Sat)|Saturday before Labor Day.
