%Y-%m-%d;beta0;beta1;beta2;tau1;beta3;tau2
1972-09-01;8.58387;30;-29.8845;0.36495;-13.912;0.36543
1972-10-01;8.52889;29.58953;28.98429;0.00481;-7.48676;0.26523
1972-11-01;8.80418;29.92019;-20.51146;0.51241;-30;0.24715
1972-12-01;9.43739;-7.46531;-20.48638;1.2951;28.55031;1.0182
1973-01-01;11.61329;-4.48145;-8.47201;0.52885;-7.08296;4.69237
1973-02-01;11.4554;13.02996;-30;0.39174;-7.29206;5.24815
1973-03-01;11.44706;-6.15884;28.95551;2.46182;-30;3.09107
1973-04-01;8.90814;-12.64824;-10.75908;0.58485;30;0.4254
1973-05-01;10.36056;21.01261;-30;0.12923;-2.28758;3.54882
1973-06-01;10.30138;19.20941;-24.00549;0.44307;-1.48525;1.65952
1973-07-01;10.28803;-0.75852;-29.29636;1.69725;30;1.54753
1973-08-01;9.45106;-1.7669;-30;0.00685;-8.08538;0.01089
1973-09-01;9.59896;30;30;0.02152;-15.45649;0.09899
1973-10-01;9.44673;-29.08596;30;0.19653;-30;0.01996
1973-11-01;10.43546;0.99556;-2.49649;1.83575;-2.80698;1.8355
1973-12-01;10.61079;2.12365;-1.81761;1.39298;-5.90079;1.40155
1974-01-01;6.48418;3.15442;30;5.40143;-24.81542;4.35549
1974-02-01;12.02109;-1.05923;-3.28653;2.8013;-1.69805;2.81055
1974-03-01;11.06112;-1.21315;-30;1.16008;28.33333;1.0842
1974-04-01;10.99285;-1.22774;28.59509;1.18632;-30;1.26113
1974-05-01;11.01159;11.30677;-30;0.16399;30;0.02584
1974-06-01;12.87856;19.85707;-30;0.31596;-6.77646;2.07747
1974-07-01;12.8814;-3.3498;-1.47883;2.18805;-2.67353;2.1863
1974-08-01;12.89372;-3.17628;-1.23712;2.66876;-2.54253;2.69818
1974-09-01;12.30008;-2.44785;-2.61271;1.85613;-1.14738;1.86477
1974-10-01;13.67133;-4.67172;-2.69482;2.2701;-8.12225;30
1974-11-01;11.30768;-1.91948;-3.0472;1.17281;-2.15114;1.16793
1974-12-01;10.73064;-1.82234;-3.11141;1.30525;-0.36643;1.31588
1975-01-01;10.35981;-1.54463;-3.05494;0.98556;-4.16007;1.00195
1975-02-01;10.6168;-3.79682;-2.86949;1.14062;-3.48496;1.13985
1975-03-01;10.76113;-4.29013;-3.17974;1.17768;-2.69615;1.16764
1975-04-01;9.9246;7.99037;-14.61096;0.70083;-30;0.13281
1975-05-01;5.45133;-0.47461;30;3.40248;-20.18912;2.51794
1975-06-01;5.47248;-0.73778;-18.82457;3.4628;30;4.11434
1975-07-01;5.41661;-1.08874;-18.41577;3.21382;30;3.85805
1975-08-01;5.41584;-0.8133;12.38268;5.27298;-5.28201;0.07108
1975-09-01;9.72068;-4.86431;-3.71621;0.95761;-0.51022;0.95786
1975-10-01;9.88928;8.92943;-21.30239;0.53952;-30;0.04499
1975-11-01;5.48951;0.44957;-22.7207;1.87399;30;2.69801
1975-12-01;6.76335;-0.65202;-27.00772;1.58075;30;2.14015
1976-01-01;8.64535;-3.08662;-30;1.21976;27.05789;1.46023
1976-02-01;7.23516;-2.67977;-27.49036;1.69849;30;2.16613
1976-03-01;4.9021;8.56109;-14.91085;0.32836;12.01798;5.62281
1976-04-01;9.43802;-5.79386;-7.53866;0.69663;23.60207;0.00925
1976-05-01;9.84139;8.97539;-9.5681;0.88636;-30;0.30294
1976-06-01;9.69157;-10.15945;-0.02045;1.01703;28.912;0.06174
1976-07-01;9.74648;-6.71418;28.06884;0.62468;-30;0.72024
1976-08-01;9.45017;2.43187;-5.00876;1.19411;-18.61727;0.25419
1976-09-01;8.88895;9.47395;-11.40558;0.54277;-30;0.1438
1976-10-01;8.64208;-3.88322;-1.48797;0.70009;-1.80299;0.69967
1976-11-01;10.0586;-5.55483;-5.26198;0.90632;-10.70661;30
1976-12-01;10.49528;-2.48784;-11.82393;0.53564;-6.61488;5.46153
1977-01-01;4.45537;-9.90928;10.28686;0.14825;9.9296;5.13731
1977-02-01;4.25212;-0.94452;1.72329;0.62783;10.34149;5.4303
1977-03-01;9.13587;-4.31247;-5.99417;0.66806;-4.63308;4.63491
1977-04-01;9.57731;-4.65134;-6.69514;0.74367;-6.65153;5.40838
1977-05-01;9.64251;-4.23213;-7.86138;0.68331;-6.69287;4.41296
1977-06-01;9.5594;-4.04906;-8.43525;0.65719;-6.57265;4.34114
1977-07-01;7.90583;-3.86451;1.51987;2.71503;-2.60013;2.70254
1977-08-01;7.79534;-4.874;-0.10844;0.44595;-6.71694;1.52863
1977-09-01;3.22195;0.16265;11.51603;9.51515;1.12377;0.63504
1977-10-01;7.76578;-4.41445;25.79185;1.3747;-28.53104;1.48039
1977-11-01;7.43363;-4.69248;28.01707;1.0042;-30;1.11298
1977-12-01;7.50556;-5.84373;27.24271;1.03424;-28.00888;1.21037
1978-01-01;8.64076;5.51453;-11.61547;2.38237;-24.97434;0.44461
1978-02-01;8.752;-6.12024;-30;2.53191;27.14133;2.2347
1978-03-01;8.64162;-6.0962;13.12549;30;3.94383;1.98151
1978-04-01;2.94068;-0.77307;1.7298;0.8619;11.1521;9.31976
1978-05-01;7.21685;15.96377;-29.46818;0.31236;-3.34843;2.38345
1978-06-01;7.22348;2.5556;-13.32291;0.35077;-2.91991;2.45048
1978-07-01;7.42148;14.91322;-30;0.26074;-1.83406;3.34924
1978-08-01;7.31613;-4.95044;30;1.67923;-27.79407;1.85759
1978-09-01;7.23597;-4.59413;26.44964;1.80477;-24.7336;1.96219
1978-10-01;7.50038;11.23816;-27.53229;0.20705;-2.7503;2.12523
1978-11-01;7.18624;-6.07318;0.02235;0.89208;29.53489;0.02357
